word	num_count
綺麗	10
可愛い	10
可愛く	10
カワイイ	10
運動不足	10
デート	10
癒し	10
癒される	10
キレイ	8
かわいい	8
上品	6
華やか	5
エクソサイズ	4
ジョギング	4
ストレッチ	4
夜景	4
遊園地	4
観覧車	4
喫茶店	4
ドライブ	4
映画館	4
登山	3
ハイキング	3
トレッキング	3
花柄	3
リボン	3
健康器具	3
上品	3
スイミング	3
ジム	3
トレーニング	3
フィットネス	3
ダイエット	3
目元パッチリ	4
愛らしい	4
愛嬌がある	4
モテる	4
男子ウケ	4
ドキドキ	2
ピュア	4
愛しい	4
童顔	4
きらきら	1
キラキラ	1
輝き	1
輝く	1
クリア	1
透明	1
純粋	4
ペット	4
犬	2
猫	2
ウサギ	2
女の子	2
ラブラブ	1
アロマ	1
くつろぐ	1
寄り添う	1
思いやり	1
安らぎ	1
落ち着いた	1
ゆったり	1
リラックス	1
優しさ	1
優しい	1
ナチュラル	1
シンプル	1
オープン	1
運動	1
トレーニング	1
脂肪燃焼	1
ストレス解消	1
女子	1
乙女	1
女性	1
愛犬	1
ワンちゃん	1
ネコ	1
おしゃれ	1
愛され	1
